,rt,ct,de,lr,lc
36,3.5281505147319843,14.126269080582178,993,1288.5262886048988,2552.8381522896702
37,3.6340320591861897,13.636539251952323,960,1585.5908631319362,2486.8169728729963
38,3.5267197387221882,12.883547662788324,1069,1609.360410287814,2921.309222290263
39,3.1978528187665534,14.708664396519106,1081,1537.4093643586832,3038.987026106697
40,3.809269356597601,13.98091603053435,1083,1598.1857306434024,2625.303582333697
41,3.776715067340067,13.131492003367002,1119,1866.927493686869,2644.329299242424
42,3.4823185011709605,12.434985688264376,975,1450.5615612802496,2439.194363778298
43,3.8499208234362627,13.769071654790183,1030,1416.4883254156769,2343.6163954869357
44,3.618506609503394,12.629617720614505,1158,1797.4902357984995,2414.7128831725613
45,3.304086591561741,12.954174950298212,983,1382.9686547382373,2356.978899933731
46,3.49143531119579,13.987252767192887,1077,1406.501758301579,2602.0928796951553
47,3.0861301369863012,12.030574581430745,963,1135.507448630137,2422.683361872146
48,3.3806914344685244,13.346068111455109,1010,1368.4686563467492,2546.2366315789473
49,3.8399912967798087,13.52678416013925,985,1507.682676240209,2523.478342036554
50,3.02210641799232,13.14460596087036,977,1332.0084640702137,2581.9518266593527
51,3.0737441588785046,12.691919781931464,1032,1360.1852570093458,2416.67195093458
52,3.6164609053497943,13.065541031227307,944,1390.9049237472768,2645.542803195352
53,3.834987680394227,12.239334741288278,1150,1568.8307022175288,2304.0201900739175
54,3.430639828860366,14.974338778685336,1059,1479.5953092182033,3141.138284714119
55,3.432336821126059,13.572811825278192,1088,1335.5444444444445,2493.893338315894
56,3.378697701826753,13.841318012178354,965,1209.6834177961107,2515.3598114319384
57,3.850812340270172,14.540717415115004,1301,1954.349890470975,2805.7138444687844
58,2.7195673549655854,12.291022615535889,992,1187.4916578171092,2395.7643421828907
59,3.2854884246188596,11.819687558817993,1054,1645.9914850367024,2658.1751439864483
60,3.415263518138261,14.482024298425735,1096,1454.5763295687884,2687.1300975359345
61,3.407034825870647,13.125383084577114,1031,1383.2892417910446,2624.110489552239
62,3.4342254408060455,12.88948362720403,875,1314.2203085642318,2173.9882052896724
63,2.953282159872949,13.94792659255338,1013,1217.9263419798838,2619.18513499206
64,3.1911692458855314,12.964947187423238,960,1572.520147383935,2946.074104642594
65,3.55583118556701,13.73283934707904,1062,1386.8919587628868,2603.335682989691
66,3.361105111591073,13.020761339092871,1025,1253.7036771058315,2346.814584233261
67,3.4847207009857613,13.780713764147501,1193,1591.5170043811609,2604.0194742606786
68,3.453443683409437,13.641333713850837,1153,1503.8177511415527,2638.5026198630135
69,3.21787784679089,13.02748447204969,950,1318.6754223602486,2497.7921801242237
70,3.458819853597572,13.663577932512052,1122,1541.3084359935726,2479.943320835565
71,3.728492015362846,13.765494238932689,1064,1390.7729047907824,2751.5040812613706
72,3.0332742840271627,12.153026276941246,951,1466.0477945084144,2809.3226837909656
73,3.5200924877312194,12.092582106455266,1119,1433.1475707814272,2333.614886749717
74,3.4647378277153558,13.581741573033709,985,1609.7051629213483,2425.1256011235955
